[2024-05-08T01:23:21.966+0000] {gcs.py:557} INFO - File /opt/***/dags/data/2024-05-07_8.csv uploaded to pm25_raw/2024-05-07_8.csv in dw-projec-swu-ds525 bucket
[2024-05-08T01:23:22.015+0000] {gcs.py:557} INFO - File /opt/***/dags/data/2024-05-05_8.csv uploaded to pm25_raw/2024-05-05_8.csv in dw-projec-swu-ds525 bucket
[2024-05-08T01:23:22.070+0000] {gcs.py:557} INFO - File /opt/***/dags/data/2024-05-04_12.csv uploaded to pm25_raw/2024-05-04_12.csv in dw-projec-swu-ds525 bucket
[2024-05-08T01:23:22.135+0000] {gcs.py:557} INFO - File /opt/***/dags/data/2024-05-03_3.csv uploaded to pm25_raw/2024-05-03_3.csv in dw-projec-swu-ds525 bucket
[2024-05-08T01:23:22.207+0000] {gcs.py:557} INFO - File /opt/***/dags/data/2024-05-02_20.csv uploaded to pm25_raw/2024-05-02_20.csv in dw-projec-swu-ds525 bucket
[2024-05-08T01:23:22.262+0000] {gcs.py:557} INFO - File /opt/***/dags/data/2024-05-05_3.csv uploaded to pm25_raw/2024-05-05_3.csv in dw-projec-swu-ds525 bucket
[2024-05-08T01:23:22.325+0000] {gcs.py:557} INFO - File /opt/***/dags/data/2024-05-05_2.csv uploaded to pm25_raw/2024-05-05_2.csv in dw-projec-swu-ds525 bucket
[2024-05-08T01:23:22.395+0000] {gcs.py:557} INFO - File /opt/***/dags/data/2024-05-03_8.csv uploaded to pm25_raw/2024-05-03_8.csv in dw-projec-swu-ds525 bucket
[2024-05-08T01:23:22.452+0000] {gcs.py:557} INFO - File /opt/***/dags/data/2024-05-04_13.csv uploaded to pm25_raw/2024-05-04_13.csv in dw-projec-swu-ds525 bucket
[2024-05-08T01:23:22.509+0000] {gcs.py:557} INFO - File /opt/***/dags/data/2024-05-07_11.csv uploaded to pm25_raw/2024-05-07_11.csv in dw-projec-swu-ds525 bucket
[2024-05-08T01:23:22.566+0000] {gcs.py:557} INFO - File /opt/***/dags/data/2024-05-04_11.csv uploaded to pm25_raw/2024-05-04_11.csv in dw-projec-swu-ds525 bucket
[2024-05-08T01:23:22.567+0000] {taskinstance.py:441} INFO - ::group::Post task execution logs
[2024-05-08T01:23:22.581+0000] {taskinstance.py:1205} INFO - Marking task as SUCCESS. dag_id=sample, task_id=upload_to_gcs, execution_date=20240508T000000, start_date=20240508T012314, end_date=20240508T012322
[2024-05-08T01:23:22.708+0000] {local_task_job_runner.py:240} INFO - Task exited with return code 0
[2024-05-08T01:23:22.751+0000] {taskinstance.py:3482} INFO - 0 downstream tasks scheduled from follow-on schedule check
[2024-05-08T01:23:22.760+0000] {local_task_job_runner.py:222} INFO - ::endgroup::
