[2024-05-05T07:49:56.170+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-05_12.csv uploaded to pm25_cleaned/2024-05-05_12.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:49:56.224+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-02_17.csv uploaded to pm25_cleaned/2024-05-02_17.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:49:56.269+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-04_17.csv uploaded to pm25_cleaned/2024-05-04_17.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:49:56.320+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-02_3.csv uploaded to pm25_cleaned/2024-05-02_3.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:49:56.371+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-04_8.csv uploaded to pm25_cleaned/2024-05-04_8.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:49:56.424+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-03_4.csv uploaded to pm25_cleaned/2024-05-03_4.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:49:56.481+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-02_22.csv uploaded to pm25_cleaned/2024-05-02_22.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:49:56.533+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-03_5.csv uploaded to pm25_cleaned/2024-05-03_5.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:49:56.580+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-05_0.csv uploaded to pm25_cleaned/2024-05-05_0.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:49:56.641+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-02_9.csv uploaded to pm25_cleaned/2024-05-02_9.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:49:56.707+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-02_23.csv uploaded to pm25_cleaned/2024-05-02_23.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:49:56.766+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-04_20.csv uploaded to pm25_cleaned/2024-05-04_20.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:49:56.825+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-05_11.csv uploaded to pm25_cleaned/2024-05-05_11.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:49:56.888+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-04_0.csv uploaded to pm25_cleaned/2024-05-04_0.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:49:56.932+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-04_14.csv uploaded to pm25_cleaned/2024-05-04_14.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:49:57.002+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-03_6.csv uploaded to pm25_cleaned/2024-05-03_6.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:49:57.065+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-03_20.csv uploaded to pm25_cleaned/2024-05-03_20.csv in dw-projec-swu-ds525 bucket
